"Date","Open","High","Low","Close","Volume"
"10/2025","55.75","57.58","53.471","55.62","67,541,975"
"09/2025","55","56.495","51.83","55.75","65,541,148"
"08/2025","50.82","56.29","50.41","55.77","56,079,129"
"07/2025","48.13","55.38","48.05","50.67","83,518,826"
"06/2025","48.9","51.05","45.74","48.09","59,056,329"
"05/2025","48.16","51.01","47.42","48.99","52,025,548"
"04/2025","48.53","49.55","39.73","47.55","84,421,858"
"03/2025","49.98","50.86","47.3","48.54","61,501,229"
"02/2025","48.35","52.52","48.08","48.48","44,919,399"
"01/2025","49.23","50.4891","48.06","49.15","49,575,958"
"12/2024","52.87","54.67","48.68","48.83","41,656,266"
"11/2024","56.09","58.51","51.12","52.65","48,086,455"
"10/2024","61.76","63.21","55.04","55.46","47,993,849"
"09/2024","52.735","62.56","50.9","62.11","61,307,334"
"08/2024","54.99","55.98","51.73","55.13","55,879,878"
"07/2024","57.81","60.03","53.475","55.53","45,742,684"
"06/2024","59.03","59.765","55.68","57.09","40,982,908"
"05/2024","55.3","62.28","54.81","59.53","48,454,936"
"04/2024","58.25","60.54","55.16","55.16","64,394,422"
"03/2024","57.86","59.09","55.09","57.69","51,639,573"
"02/2024","61.39","62.04","56.785","57.34","48,611,346"
"01/2024","67.99","68.41","59.68","61.22","54,108,350"
"12/2023","61.96","69.11","60.54","68.31","49,262,142"
"11/2023","57.54","62.67","56.815","60.96","39,673,952"
"10/2023","56.5","58.44","54.28","57.06","57,363,941"
"09/2023","58.41","59.3","54.85","56.88","48,963,406"
"08/2023","61.45","61.6","54.725","57.49","60,012,178"
"07/2023","60.55","64.48","56.9265","62.65","48,447,736"
"06/2023","55.44","64.17","55.235","59.67","58,188,415"
"05/2023","59.43","61.68","54.4114","54.9","59,440,782"
"04/2023","62.5","63.36","56.925","59.04","55,405,513"
"03/2023","63","66.005","56.48","63.41","75,453,494"
"02/2023","69.91","70.44","59.8395","60.97","62,819,379"
"01/2023","61.58","71.52","61.05","70.15","59,431,855"
"12/2022","62.79","65.18","60.475","62.05","49,480,385"
"11/2022","50.34","63.1882","47.47","62.8","81,963,504"
"10/2022","51","53.49","46.92","47.82","81,465,462"
"09/2022","50.37","54.895","47.39","50.04","90,028,095"
"08/2022","54.48","60.81","52.77","54.89","73,824,265"
"07/2022","54.19","55.3075","47.35","55.04","67,782,225"
"06/2022","67.0028","69.25","54.04","56.18","73,329,303"
"05/2022","62.0784","66.9379","56.2916","65.5283","79,922,545"
"04/2022","72.8082","73.8746","59.2175","62.1155","84,390,313"
"03/2022","63.1449","73.0168","58.7677","71.6397","126,605,082"
"02/2022","59.3334","65.7861","57.7476","62.8667","141,314,941"
"01/2022","56.1896","64.5082","55.7723","58.981","133,573,249"
"12/2021","52.3503","56.5327","50.0782","55.967","75,706,101"
"11/2021","50.8387","52.916","48.1122","52.1092","73,929,709"
"10/2021","49.6238","54.2143","48.6222","50.8572","70,079,158"
"09/2021","60.2886","60.7894","48.511","49.6331","101,714,359"
"08/2021","73.921","74.4635","57.998","61.3365","79,611,919"
"07/2021","67.9023","74.6536","66.5947","72.8545","35,298,390"
"06/2021","70.601","71.0183","63.5622","67.5407","36,598,158"
"05/2021","68.0971","76.1096","66.5206","68.7277","41,456,953"
"04/2021","64.7029","70.5824","63.5344","67.4758","42,836,795"
"03/2021","71.4171","75.8778","61.5127","64.3505","70,318,922"
"02/2021","63.8312","74.6444","61.5869","70.397","53,940,859"
"01/2021","63.0615","69.0059","61.7446","61.9301","59,884,003"
"12/2020","53.0551","61.9347","53.0365","60.5946","46,357,832"
"11/2020","44.9313","53.7228","44.4537","51.7382","44,532,806"
"10/2020","48.0936","49.3178","43.4939","44.616","52,318,990"
"09/2020","52.0628","52.814","47.6949","47.9545","50,683,491"
"08/2020","49.596","54.1135","49.3827","51.0612","39,221,288"
"07/2020","45.8865","50.4955","45.4784","49.0025","48,357,342"
"06/2020","43.9019","49.021","43.7442","46.1183","46,833,194"
"05/2020","36.0099","44.041","35.537","43.6793","51,465,766"
"04/2020","33.7008","39.1955","33.0887","37.7256","64,972,845"
"03/2020","40.2573","42.4923","27.6172","34.0254","149,198,682"
"02/2020","47.259","49.1508","39.4783","40.1646","51,609,895"
"01/2020","51.2096","52.6563","47.3054","47.3981","47,359,316"
"12/2019","47.732","51.7289","46.7768","50.7366","28,825,699"
"11/2019","45.6732","48.548","45.6083","47.7876","33,919,620"
"10/2019","45.8679","46.4244","43.4382","45.3579","39,607,250"
"09/2019","44.7087","48.5851","44.7087","45.7937","39,370,057"
"08/2019","49.8278","50.4213","43.2249","45.5897","52,809,484"
"07/2019","54.6409","54.7336","50.375","50.9407","36,398,698"
"06/2019","48.0287","54.2421","47.9916","53.8897","40,758,558"
"05/2019","49.2436","49.7073","46.5588","48.14","46,444,165"
"04/2019","52.137","53.0922","49.021","49.1045","38,893,794"
"03/2019","49.1601","50.9592","47.3054","50.6996","49,560,448"
"02/2019","47.2219","50.7552","46.5913","49.0581","41,117,757"
"01/2019","43.2527","47.5279","42.8493","47.4723","59,329,358"
"12/2018","43.4475","45.1817","40.7303","44.7829","85,826,959"
"11/2018","44.2821","45.5341","40.4799","41.1383","58,601,263"
"10/2018","46.378","47.1477","40.5355","42.8261","69,597,612"
"09/2018","43.7535","46.6098","40.0524","46.2203","39,919,404"
"08/2018","47.6392","47.7227","42.9653","44.5511","49,851,120"
"07/2018","45.2002","48.7984","44.2914","48.4646","52,727,235"
"06/2018","46.6562","48.3811","43.6793","46.378","54,237,556"
"05/2018","43.0116","48.3533","42.3673","46.1647","52,161,841"
"04/2018","41.1754","45.1075","39.9698","43.3547","56,619,582"
"03/2018","42.5572","43.6515","40.2017","41.2032","68,104,535"
"02/2018","45.2188","46.4058","40.8694","43.1229","71,651,132"
"01/2018","43.3547","47.1013","43.2342","45.4599","57,864,871"
"12/2017","38.6437","43.2527","37.6328","42.6499","40,358,276"
"11/2017","39.3392","40.619","37.7627","38.5324","55,924,007"
"10/2017","37.8183","40.0069","37.2712","38.0038","55,605,913"
"09/2017","40.6932","41.3794","37.0208","37.5865","55,956,102"
"08/2017","38.5973","40.4613","36.7889","40.3408","56,409,997"
"07/2017","33.3298","38.7364","33.3159","38.6344","56,795,737"
"06/2017","32.5508","33.4597","30.9928","33.0053","72,566,629"
"05/2017","33.2","34.3314","30.9465","32.5416","58,766,003"
"04/2017","33.8399","35.7039","32.115","33.0145","65,207,981"
"03/2017","35.7688","36.2789","32.625","33.6822","80,950,958"
"02/2017","38.486","38.653","34.7951","35.0733","63,719,133"
"01/2017","34.2758","38.755","33.9512","38.2913","55,923,575"
"12/2016","34.9991","37.2804","32.7085","33.1815","61,303,742"
"11/2016","32.9218","36.2789","31.2061","34.8136","90,660,047"
"10/2016","32.2726","33.5339","30.8908","32.4766","68,347,878"
"09/2016","27.7563","32.4581","27.1721","32.1335","80,573,363"
"08/2016","27.7192","31.1783","26.6806","27.8212","85,517,528"
"07/2016","26.1983","29.3421","25.4564","27.5337","94,188,021"
"06/2016","24.3899","27.747","23.8799","26.4858","138,100,901"
"05/2016","29.3607","29.3699","24.1026","25.0113","105,715,161"
"04/2016","23.1751","30.5941","21.7006","29.0639","108,611,982"
"03/2016","21.9602","27.2648","21.4131","24.019","117,937,354"
"02/2016","20.226","23.6891","18.6588","20.9679","100,768,056"
"01/2016","23.2493","23.648","17.1193","20.3188","110,194,884"
"12/2015","24.9835","25.373","21.5244","23.8892","112,237,297"
"11/2015","30.1953","31.846","24.0283","24.7423","89,382,132"
"10/2015","30.0747","35.333","29.4534","30.5013","72,821,978"
"09/2015","31.9202","33.5153","27.9603","29.3236","74,267,645"
"08/2015","34.7858","37.1228","29.2958","34.1552","75,196,925"
"07/2015","37.8183","38.6715","33.1907","35.5834","69,956,987"
"06/2015","41.3423","41.9544","37.5494","37.7534","45,430,248"
"05/2015","48.5295","48.6501","40.9158","41.3887","46,282,035"
"04/2015","42.6499","48.6501","40.6468","47.565","55,027,757"
"03/2015","48.4414","48.7613","40.8694","43.0951","59,720,187"
"02/2015","43.5495","49.1323","43.2156","48.7057","60,272,400"
"01/2015","43.9204","44.1616","39.8029","42.9653","68,286,038"
"12/2014","47.259","48.3718","41.6391","43.8834","78,864,962"
"11/2014","55.1324","55.9485","47.8247","47.8803","51,038,143"
"10/2014","54.3998","55.8001","51.5527","55.1231","81,681,793"
"09/2014","63.8404","63.8868","54.3163","54.6038","55,026,796"
"08/2014","65.6952","67.4758","62.9502","63.6457","42,456,717"
"07/2014","63.8961","68.5422","63.8683","65.927","37,752,365"
"06/2014","63.1078","64.3969","60.7801","63.4788","34,453,003"
"05/2014","64.5916","67.1373","62.6812","62.9502","35,345,285"
"04/2014","63.8034","67.1419","63.5808","65.417","38,004,905"
"03/2014","63.2469","63.9796","58.9207","62.8482","50,012,971"
"02/2014","59.1294","66.0847","58.1278","63.8961","41,577,110"
"01/2014","62.505","62.8389","58.2484","59.3056","48,034,993"
"12/2013","62.3566","63.2469","58.9996","63.2469","36,607,449"
"11/2013","65.7694","67.6612","62.8111","63.2655","25,550,684"
"10/2013","61.2902","67.6149","59.9733","65.5561","32,816,152"
"09/2013","61.2438","65.0739","59.2685","61.6704","29,525,871"
"08/2013","58.981","63.5066","58.0536","58.6842","45,917,205"
"07/2013","53.8341","60.2701","51.6177","58.1742","46,640,795"
"06/2013","61.1325","61.9857","52.4708","53.4724","57,168,756"
"05/2013","61.7168","65.6581","60.0475","60.5761","57,415,647"
"04/2013","63.2562","66.2702","58.6008","62.3381","66,448,870"
"03/2013","68.6535","69.5623","63.4602","63.4602","52,635,649"
"02/2013","73.6799","74.6907","68.533","69.4232","41,317,250"
"01/2013","74.3847","74.4682","70.4804","73.0029","43,562,792"
"12/2012","67.179","72.8731","66.2423","72.7247","45,674,832"
"11/2012","65.6766","67.9904","62.505","66.808","49,582,452"
"10/2012","64.2299","67.3088","62.4123","65.6025","53,575,680"
"09/2012","60.5854","67.6983","58.4246","63.6272","53,381,847"
"08/2012","62.1897","65.4726","60.0939","61.0212","47,229,808"
"07/2012","60.8543","62.4123","56.3194","61.522","72,663,696"
"06/2012","56.0598","62.6627","55.5219","60.5575","76,516,173"
"05/2012","69.1543","70.5732","55.967","57.0613","85,769,697"
"04/2012","67.3552","69.1728","63.5642","68.9039","66,423,619"
"03/2012","71.6397","72.1404","64.8791","67.1419","71,653,433"
"02/2012","74.4682","76.258","69.7385","71.2409","62,777,502"
"01/2012","69.2099","75.9705","66.9193","73.6706","69,512,742"
"12/2011","69.1821","72.1219","62.3659","65.5004","62,360,167"
"11/2011","69.0894","74.394","61.4849","69.7107","83,034,111"
"10/2011","60.6874","78.2426","57.998","72.4094","110,029,582"
"09/2011","78.8917","79.6058","61.0398","61.6147","99,515,003"
"08/2011","86.0232","86.1531","66.5947","78.9845","135,638,902"
"07/2011","87.5905","90.2984","82.6198","84.9011","63,972,378"
"06/2011","88.3139","88.4066","80.0695","87.7574","74,983,781"
"05/2011","93.2753","94.3603","83.4915","88.4901","95,656,646"
"04/2011","89.2041","96.9941","88.7404","93.8874","88,134,626"
"03/2011","88.1469","89.64","77.7603","88.9166","94,308,972"
"02/2011","83.779","89.2412","83.6955","87.7296","74,729,378"
"01/2011","87.0248","87.1083","80.1993","82.5641","57,383,297"
"12/2010","78.4373","86.7605","78.2797","86.1716","52,504,817"
"11/2010","77.5378","85.8934","75.6366","76.4156","74,263,827"
"10/2010","72.0477","77.445","70.4063","76.5779","77,045,100"
"09/2010","63.7106","72.1034","63.553","70.7772","68,274,228"
"08/2010","69.1265","70.7308","59.4818","61.6704","85,755,828"
"07/2010","58.2113","68.4217","56.5049","66.9842","89,690,101"
"06/2010","59.2036","65.9363","54.1401","57.4879","118,620,117"
"05/2010","67.4943","67.5778","54.1865","60.1309","156,829,191"
"04/2010","76.2302","77.1575","67.3645","67.5036","86,322,615"
"03/2010","68.1435","75.8963","67.9673","74.4867","92,120,914"
"02/2010","65.4726","70.2022","61.6797","68.0044","113,778,021"
"01/2010","73.1698","76.731","63.8034","64.332","85,310,504"
"12/2009","71.3151","73.0307","66.7709","71.0183","76,987,011"
"11/2009","61.1974","71.8808","59.8898","69.8313","86,911,715"
"10/2009","60.0382","69.5345","57.1912","60.8172","112,469,654"
"09/2009","58.0536","64.4154","55.7074","61.216","86,996,647"
"08/2009","60.3906","61.791","55.2066","57.7754","90,532,753"
"07/2009","52.3503","58.8975","45.5063","58.3875","107,147,166"
"06/2009","54.6131","58.3504","48.3904","50.7552","143,464,535"
"05/2009","44.9869","52.6099","44.616","52.1555","113,347,353"
"04/2009","40.3315","46.6747","40.2109","44.6438","113,782,691"
"03/2009","32.3283","45.1631","30.6868","41.3609","159,289,262"
"02/2009","33.7472","43.9019","32.6343","33.775","131,207,398"
"01/2009","40.6839","45.2188","32.7641","34.8136","111,519,850"
"12/2008","35.1011","42.0657","29.982","39.7844","120,822,768"
"11/2008","35.9636","40.9436","22.7485","37.1135","143,537,979"
"10/2008","48.2977","48.4553","26.7177","36.0563","190,417,503"
"09/2008","59.7229","63.6921","45.7752","48.2142","156,293,393"
"08/2008","66.975","67.5128","58.4802","65.3892","86,236,211"
"07/2008","76.5362","77.6398","64.1928","69.2378","108,786,847"
"06/2008","78.7063","81.5162","73.4666","79.003","101,462,003"
"05/2008","75.3306","88.6663","72.4279","78.2147","111,033,416"
"04/2008","60.4741","80.1344","60.437","74.802","114,645,025"
"03/2008","67.0863","70.397","56.1711","61.0676","100,201,296"
"02/2008","68.6257","70.6474","59.658","67.8653","96,907,570"
"01/2008","65.8899","67.3737","49.8185","62.6627","120,123,810"
"12/2007","69.7849","73.0307","62.3196","64.9533","60,907,167"
"11/2007","77.8531","78.2333","63.8034","70.3228","144,000,023"
"10/2007","73.9025","81.0803","71.0369","80.9227","119,540,425"
"09/2007","57.8032","72.9936","57.794","72.8916","78,212,724"
"08/2007","57.9145","59.7693","45.8308","58.5637","114,095,662"
"07/2007","56.1989","63.8774","56.0876","59.1479","73,279,131"
"06/2007","49.429","56.1803","49.392","55.4106","69,571,852"
"05/2007","45.1631","49.8464","44.6345","48.817","76,277,143"
"04/2007","44.9406","47.4816","44.5882","45.293","50,301,852"
"03/2007","38.7364","45.2559","37.4103","44.9313","75,181,626"
"02/2007","38.7642","43.6701","37.9853","39.8122","68,510,484"
"01/2007","36.7889","38.4768","33.7286","38.0131","86,556,096"
"12/2006","38.4582","39.2187","35.5648","36.8631","55,637,945"
"11/2006","40.3686","41.129","36.3809","38.4211","63,553,302"
"10/2006","35.5648","39.8864","33.1907","39.4783","58,675,873"
"09/2006","39.0703","40.6375","32.217","35.1289","71,362,340"
"08/2006","38.7828","40.7581","37.8925","39.0425","57,051,721"
"07/2006","40.2759","41.4258","37.3083","39.1352","59,536,154"
"06/2006","38.8106","40.6097","33.2001","39.942","85,670,477"
"05/2006","43.3084","47.055","36.8817","40.1368","90,919,600"
"04/2006","38.5046","43.7628","38.3099","42.2512","57,440,994"
"03/2006","33.5246","37.4196","31.0207","36.9559","54,275,929"
"02/2006","36.8631","36.8631","32.2263","33.4689","57,689,545"
"01/2006","31.7162","36.8446","31.7162","36.5849","47,353,049"
"12/2005","29.676","31.3545","29.676","30.9928","27,025,224"
"11/2005","29.2308","30.6034","28.1458","29.8336","27,751,470"
"10/2005","31.2061","31.438","27.1164","28.795","38,254,026"
"09/2005","29.6389","31.9759","28.7486","31.6977","32,351,987"
"08/2005","27.4503","30.186","27.2741","29.0361","32,630,515"
"07/2005","25.2709","27.8027","25.1318","27.4688","21,595,706"
"06/2005","23.3698","26.5507","23.3053","25.3173","27,295,560"
"05/2005","23.5553","24.223","21.7562","23.2771","24,909,898"
"04/2005","26.7547","26.764","22.5259","23.444","46,739,807"
"03/2005","27.9511","28.4695","24.7609","25.9479","44,713,121"
"02/2005","24.2045","28.7579","23.5275","28.526","33,167,620"
"01/2005","22.3961","23.7964","20.9401","23.6666","28,381,205"